cluster_id,pattern
cluster-0,complex
cluster-1,complex
cluster-2,simple
cluster-3,simple
cluster-4,simple
cluster-5,simple
cluster-6,simple
cluster-7,complex
cluster-8,simple
cluster-9,simple
cluster-10,simple
cluster-11,simple
cluster-12,complex
cluster-13,simple
cluster-14,complex
cluster-15,complex
cluster-16,complex
cluster-17,complex
cluster-18,complex
cluster-19,complex
cluster-20,complex
cluster-21,complex
cluster-22,complex
cluster-23,complex
cluster-24,complex
cluster-25,complex
cluster-26,complex
cluster-27,complex
cluster-28,simple
cluster-29,simple
cluster-30,complex
cluster-31,simple
cluster-32,complex
cluster-33,complex
cluster-34,complex
cluster-35,complex
cluster-36,complex
cluster-37,complex
cluster-38,complex
cluster-39,complex
cluster-40,complex
cluster-41,complex
cluster-42,complex
cluster-43,complex
cluster-44,complex
cluster-45,complex
cluster-46,complex
cluster-47,complex
cluster-48,complex
cluster-49,complex
cluster-50,complex
cluster-51,simple
cluster-52,complex
cluster-53,complex
cluster-54,simple
cluster-55,simple
cluster-56,complex
cluster-57,complex
cluster-58,complex
cluster-59,simple
cluster-60,simple
cluster-61,complex
cluster-62,simple
cluster-63,simple
cluster-64,simple
cluster-65,complex
cluster-66,complex
cluster-67,complex
cluster-68,complex
cluster-69,complex
cluster-70,complex
cluster-71,complex
